,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17
state1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
state2,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
state3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
state4,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
state5,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
state6,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
state7,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
state8,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
state9,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
